"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.766456840E-1,-1.121401787E-3,-1.422703266E-2,3.224563599E-2
7.866859300E-1,-1.440945268E-2,-4.754352570E-2,8.927345276E-3
7.967566940E-1,-3.215195239E-2,-7.591390610E-2,-2.157306671E-2
8.067969390E-1,-1.915936172E-2,-9.896224737E-2,-6.648349762E-2
8.168371850E-1,9.832620621E-3,-1.124547124E-1,-6.371402740E-2
8.268774310E-1,-4.360435903E-2,-1.176967025E-1,-8.494091034E-2
8.369176780E-1,-5.393470824E-2,-1.120137572E-1,-7.515048981E-2
8.469884400E-1,-4.558911920E-2,-1.034013033E-1,-4.625988007E-2
8.570286870E-1,-5.135627091E-2,-9.422600269E-2,-2.458953857E-2
8.670689330E-1,-2.224977314E-2,-7.900321484E-2,-7.638931274E-3
8.771091790E-1,-7.087934017E-2,-8.651280403E-2,-2.724647522E-3
8.871494240E-1,-5.062621832E-2,-7.951521873E-2,1.413440704E-2
8.972201880E-1,-4.231962562E-2,-7.677042484E-2,1.419258118E-2
9.072604340E-1,-1.762233675E-2,-5.243396759E-2,-7.307052612E-3
9.173006790E-1,-7.256358862E-3,-7.971245050E-2,-2.555847168E-3
9.273409260E-1,3.145575523E-3,-4.920774698E-2,1.414108276E-2
9.374116890E-1,-2.806961536E-3,-6.585097313E-2,-4.103374481E-2
9.474519360E-1,-1.798412204E-2,-4.429370165E-2,-3.633403778E-2
9.574921810E-1,-1.417571306E-2,-4.623836279E-2,-4.124927521E-2
9.675324270E-1,-1.317590475E-3,4.153490067E-3,-4.136180878E-2
9.775726730E-1,-2.989768982E-3,-7.510066032E-3,-2.712726593E-2
9.876434360E-1,2.127379179E-3,9.747147560E-3,-9.469985962E-4
9.976836820E-1,-5.291193724E-3,2.447307110E-2,4.677963257E-2
1.007723928E0,1.492500305E-3,2.209901810E-2,1.256532669E-1
1.017764175E0,9.770989418E-4,5.426555872E-2,1.519603729E-1
1.027834937E0,-1.859775186E-2,5.165416002E-2,1.400632858E-1
1.037875184E0,2.349227667E-2,3.344464302E-2,1.066999435E-1
1.047915430E0,2.026948333E-2,3.344327211E-2,4.708099365E-2
1.057955676E0,3.854599595E-2,3.493434191E-2,-1.246643066E-2
1.067995921E0,5.420057476E-2,3.878682852E-2,-1.694965363E-2
1.078066685E0,6.987226009E-2,4.573994875E-2,-1.909446716E-2
1.088106931E0,6.663994491E-2,3.198486567E-2,2.498626709E-4
1.098147176E0,2.316835523E-2,1.666164398E-2,5.175590515E-3
1.108187423E0,3.338843584E-3,1.849162579E-2,-1.148605347E-2
1.118258186E0,-1.214483380E-2,1.309686899E-2,-1.071662903E-1
1.128298433E0,-1.145204902E-2,1.950436831E-2,-1.334190369E-1
1.138338678E0,-2.061077952E-2,2.871185541E-2,-1.142225266E-1
1.148378924E0,-3.899174929E-2,5.919557810E-2,-7.823371887E-2
1.158419170E0,1.574122906E-2,5.772680044E-2,4.139137268E-2
1.168489933E0,-3.904613853E-2,5.460393429E-2,1.561861038E-1
1.178530179E0,2.866905928E-2,3.148663044E-2,1.130447388E-1
1.188570425E0,-1.349627972E-2,-4.327297211E-5,1.394424438E-1
1.198610672E0,3.029248118E-2,-2.510315180E-2,4.617977142E-2
1.208681434E0,1.683324575E-2,-5.033898354E-2,3.673648834E-2
1.218721681E0,6.148010492E-3,-7.027369738E-2,-3.862380981E-3
1.228761927E0,3.288394213E-2,-1.002374291E-1,-6.338119507E-3
1.238802173E0,-5.997151136E-3,-8.976387978E-2,-1.593017578E-2
1.248872936E0,1.424777508E-2,-1.173127294E-1,-9.003639221E-3
1.258913182E0,-1.726964116E-2,-1.158183813E-1,-1.164722443E-2
1.268953428E0,-2.461853623E-2,-1.183363199E-1,2.396297455E-2
1.278993673E0,-2.997720242E-2,-7.309174538E-2,3.582096100E-2
1.289064437E0,-1.661586761E-2,-5.957794189E-2,3.574371338E-2
1.299104683E0,-2.223894000E-2,-4.196542501E-2,6.206321716E-2
1.309144930E0,5.384773016E-3,-5.835354328E-3,7.405757904E-2
1.319185175E0,1.109206676E-2,2.034699917E-2,6.931114197E-2
1.329255938E0,-2.580881119E-3,3.878653049E-2,5.023670197E-2
1.339296185E0,2.403217554E-2,5.172121525E-2,2.162933350E-2
1.349336430E0,2.645730972E-2,6.845796108E-2,5.063056946E-3
1.359376676E0,3.585091233E-2,7.280397415E-2,-1.387023926E-2
1.369447440E0,4.985746741E-2,6.310814619E-2,-4.480457306E-2
1.379487686E0,4.487100244E-2,7.476127148E-2,-3.980445862E-2
1.389527931E0,4.742297530E-2,5.848407745E-2,-3.485679626E-2
1.399598695E0,1.962962747E-2,5.715411901E-2,-3.711318970E-2
1.409638941E0,1.308792830E-2,5.835551023E-2,-5.375385284E-2
1.419679186E0,1.666992903E-3,5.973058939E-2,-4.407691956E-2
1.429719433E0,-5.073696375E-3,3.106188774E-2,-5.125045776E-2
1.439790196E0,-7.242083549E-3,1.252090931E-2,-1.059055328E-2
1.449830443E0,-1.167944074E-2,-3.204286098E-3,1.307487488E-3
1.459870688E0,-6.340503693E-3,-4.512488842E-3,2.039051056E-2
1.469910934E0,-2.224758267E-2,3.555655479E-3,2.274227142E-2
1.479981698E0,-2.599316835E-2,-2.427572012E-2,4.664611816E-2
1.490021944E0,-3.690573573E-2,-2.368742228E-2,4.184532166E-2
1.500062189E0,-2.682754397E-2,-2.354699373E-2,2.748584747E-2
1.510102435E0,-3.566873074E-2,-4.472267628E-2,1.072025299E-2
1.520173199E0,-3.256693482E-2,-5.626952648E-2,1.549816132E-2
1.530213444E0,1.059478521E-2,-4.910123348E-2,1.789665222E-2
1.540253691E0,-9.906291962E-4,-5.156379938E-2,-6.027221680E-3
1.550293937E0,-5.509257317E-4,-2.326071262E-2,-4.668045044E-2
1.560364701E0,2.133387327E-2,-1.144623756E-2,-8.496379852E-2
1.570404946E0,1.928472519E-2,1.774674654E-2,-8.738327026E-2
1.580445192E0,1.953831315E-2,4.247885942E-2,-9.462070465E-2
1.590485438E0,8.841753006E-4,7.643860579E-2,-5.393791199E-2
1.600556201E0,-1.494756341E-2,7.055163383E-2,1.055717468E-3
1.610596447E0,-9.412765503E-3,6.038755178E-2,2.248382568E-2
1.620636693E0,-2.064606547E-2,3.835040331E-2,-3.979682922E-3
1.630676940E0,-1.519373059E-2,4.433655739E-2,1.031208038E-2
1.640747702E0,1.630935073E-2,2.468585968E-3,-2.568531036E-2
1.650787949E0,3.068089485E-2,-6.418824196E-3,-1.855754852E-2
1.660828195E0,3.762912750E-2,-1.523363590E-2,-1.866340637E-3
1.670898958E0,5.381873250E-2,2.089619637E-3,6.750106812E-2
1.680939204E0,3.686678410E-2,-1.630401611E-2,1.105308533E-1
1.690979450E0,3.355562687E-3,-3.504937887E-2,9.613227844E-2
1.701019696E0,-4.035949707E-3,2.283990383E-3,5.550193787E-2
1.711090459E0,4.969596863E-3,1.719456911E-2,-4.253387451E-2
1.721130705E0,1.551896334E-3,2.907371521E-2,-9.504318237E-2
1.731170951E0,4.984200001E-3,3.713357449E-2,-9.736061096E-2
1.741241714E0,6.141364574E-3,4.381769896E-2,1.037693024E-2
1.751281960E0,-1.338440180E-2,5.382782221E-2,9.652137756E-2
1.761322207E0,-8.555144072E-3,4.795956612E-2,1.754255295E-1
1.771362453E0,-1.564210653E-2,7.905244827E-3,1.945304871E-1
1.781433216E0,-1.309514046E-3,3.191828728E-4,1.514663696E-1
1.791473462E0,-3.241783381E-2,-1.527291536E-2,9.649944305E-2
1.801513708E0,-1.816868782E-2,-2.658486366E-2,7.269191742E-2
1.811553954E0,-8.813410997E-3,-5.181628466E-2,7.997035980E-2
1.821624717E0,-2.282765508E-2,-7.601279020E-2,8.718490601E-2
1.831664963E0,-8.014887571E-3,-1.057966352E-1,1.134281158E-1
